,precision,recall,f1-score,support
0,0.8993576017130621,0.9610983981693364,0.9292035398230089,437.0
1,0.9791666666666666,0.9915611814345991,0.9853249475890985,474.0
2,0.9215686274509803,0.8499095840867993,0.8842897460018815,553.0
3,0.8743068391866913,0.900952380952381,0.8874296435272045,525.0
4,0.9285714285714286,0.9686274509803922,0.9481765834932822,510.0
5,0.9574468085106383,0.8982035928143712,0.9268795056642637,501.0
accuracy,0.9256666666666666,0.9256666666666666,0.9256666666666666,0.9256666666666666
macro avg,0.9267363286832445,0.92839209807298,0.9268839943497899,3000.0
weighted avg,0.9263450310457572,0.9256666666666666,0.9253184847900269,3000.0
