,precision,recall,f1-score,support
0,0.7479838709677419,0.8489702517162472,0.7952840300107181,437.0
1,0.9511677282377919,0.9451476793248945,0.9481481481481482,474.0
2,0.8244274809160306,0.7811934900542495,0.8022284122562674,553.0
3,0.7543859649122807,0.819047619047619,0.7853881278538812,525.0
4,0.8590021691973969,0.7764705882352941,0.815653964984552,510.0
5,0.8577405857740585,0.8183632734530938,0.8375893769152196,501.0
accuracy,0.829,0.829,0.829,0.829
macro avg,0.8324513000008834,0.831532150305233,0.8307153433614644,3000.0
weighted avg,0.8325008743622015,0.829,0.8295127408048522,3000.0
