epoch,train_loss,train_acc,val_loss,val_acc
1,0.9941391251081758,0.6236995867179707,0.9284835158193365,0.6356666666666667
2,0.7593345287041675,0.7273763716688043,0.6056193536583413,0.7806666666666666
3,0.7156024302328367,0.7432663531423686,0.6932400514153724,0.741
4,0.6908206632848752,0.7533846373093914,0.5630108733126458,0.806
5,0.6612432554262374,0.7610089781958101,0.6469771292139875,0.7746666666666666
6,0.6410692341642662,0.7699159184836825,0.5634575798077152,0.7953333333333333
7,0.6303362787312962,0.7716973065412569,0.7995238278576351,0.718
8,0.6026905608747435,0.7840245118996723,0.5295272533425149,0.8133333333333334
9,0.5938994959845358,0.7835257232435514,0.5384997196019964,0.807
10,0.578647615663826,0.7885848653270628,1.3144828826189041,0.5506666666666666
11,0.5731810167737322,0.7907937865184552,0.506939759413573,0.831
12,0.5652147561379609,0.7916488527860909,0.6228549811899899,0.7786666666666666
13,0.5549145413218979,0.801482114863902,0.4700244330662362,0.829
14,0.5395537848013681,0.8051161465013539,0.5922758411318856,0.7903333333333333
15,0.5293445009780636,0.8114578879863189,0.7183058884383694,0.7563333333333333
16,0.5219087917060679,0.8123842097762577,0.5083100135361359,0.826
17,0.5120190166123636,0.8137380647000142,0.5016177602191555,0.8163333333333334
