epoch,train_loss,train_acc,val_loss,val_acc
1,0.9155102509979778,0.6433661108735927,1.9187579668582755,0.47633333333333333
2,0.6268672197038873,0.7724098617642867,0.5400440816549544,0.8073333333333333
3,0.5506412279293587,0.7977055721818441,0.6154712400537856,0.784
4,0.49001397029549765,0.8271341028929742,0.49319828511711133,0.8276666666666667
5,0.4613935767518089,0.8321932449764857,0.48942872069459015,0.831
6,0.4155488668989755,0.8518597691321077,0.45080386009067297,0.8423333333333334
7,0.40326995709762486,0.8567764001710133,0.41385609205772583,0.854
8,0.36742744733980415,0.8670371953826421,0.7824774998973342,0.7436666666666667
9,0.3480993246570535,0.87751175716118,0.6541087114787165,0.767
10,0.3271732548578454,0.8837822431238421,0.43344029764387204,0.8453333333333334
11,0.3109752301101261,0.8887701296850505,0.37966474680665957,0.8596666666666667
12,0.28954731241920817,0.8943280604246829,0.42244088094919285,0.853
13,0.277841490160903,0.9018811457887986,0.45569294154832257,0.8416666666666667
14,0.24785025459385407,0.9107880860766709,0.40237311339947057,0.868
15,0.2373907966348332,0.9133532848795781,1.3272324233245292,0.6543333333333333
