,precision,recall,f1-score,support
0,0.9151193633952255,0.7894736842105263,0.8476658476658476,437.0
1,0.9802631578947368,0.9430379746835443,0.9612903225806452,474.0
2,0.7424242424242424,0.8860759493670886,0.807914262159934,553.0
3,0.8401639344262295,0.780952380952381,0.8094768015794669,525.0
4,0.9150326797385621,0.8235294117647058,0.8668730650154799,510.0
5,0.8339285714285715,0.9321357285429142,0.8803016022620169,501.0
accuracy,0.8596666666666667,0.8596666666666667,0.8596666666666667,0.8596666666666667
macro avg,0.8711553248845947,0.8592008549201934,0.862253650210565,3000.0
weighted avg,0.8668878170775255,0.8596666666666667,0.8603232873426766,3000.0
