,precision,recall,f1-score,support
0,0.8095238095238095,0.816933638443936,0.8132118451025057,437.0
1,0.9557894736842105,0.9578059071729957,0.9567966280295047,474.0
2,0.8879120879120879,0.7305605786618445,0.8015873015873016,553.0
3,0.7676419965576592,0.8495238095238096,0.8065099457504521,525.0
4,0.8568702290076335,0.8803921568627451,0.8684719535783365,510.0
5,0.8416030534351145,0.8802395209580839,0.8604878048780488,501.0
accuracy,0.8503333333333334,0.8503333333333334,0.8503333333333334,0.8503333333333334
macro avg,0.8532234416867525,0.8525759352705692,0.8511775798210249,3000.0
weighted avg,0.8531601648870872,0.8503333333333334,0.8498719212871332,3000.0
