epoch,train_loss,train_acc,val_loss,val_acc
1,0.5393905020859898,0.8064700014251105,0.5197020155536209,0.8056666666666666
2,0.5302373253674605,0.8061849793358985,0.4652825336744811,0.8366666666666667
3,0.5167277421047042,0.8128829984323785,0.5222327113250628,0.8106666666666666
4,0.5167735624625633,0.8119566766424398,0.4611182366609276,0.846
5,0.5076840526014906,0.8174433518597691,0.4312937086685858,0.8563333333333333
6,0.5015634305792137,0.8201510617072824,0.46309060952811937,0.8463333333333334
7,0.4977767359558705,0.8188684623058287,0.4605224348921725,0.8386666666666667
8,0.48733391597493636,0.8239276043893402,0.42498881934567334,0.8503333333333334
9,0.47604755140790095,0.8253527148353997,0.5556198577297494,0.8146666666666667
10,0.48335963786327213,0.8242126264785521,0.4487034883127211,0.842
11,0.46003415654487656,0.8300555793073964,0.4826040702322102,0.834
12,0.45173372243422855,0.8363260652700585,0.5478527623530913,0.8116666666666666
